,time_index,values,outlier,series_id,outlier_2,good,sum
398,2018-02-03,31.899618,0,1,0,0,281
399,2018-02-04,33.834644,0,1,0,0,281
400,2018-02-05,40.51545,0,1,0,0,281
401,2018-02-06,41.82957,0,1,0,0,281
402,2018-02-07,39.38799,0,1,0,0,281
403,2018-02-08,37.86294,0,1,0,0,281
404,2018-02-09,36.242393,0,1,0,0,281
405,2018-02-10,30.510506,0,1,0,0,281
406,2018-02-11,26.798141,0,1,0,0,281
407,2018-02-12,34.645447,0,1,0,0,281
408,2018-02-13,35.925194,0,1,0,0,281
409,2018-02-14,36.059265,0,1,0,0,281
410,2018-02-15,29.629263,0,1,0,0,281
411,2018-02-16,26.448586,0,1,0,0,281
412,2018-02-17,25.873377,0,1,0,0,281
413,2018-02-18,29.704775,0,1,0,0,281
414,2018-02-19,36.664017,0,1,0,0,281
415,2018-02-20,42.980686,0,1,0,0,281
416,2018-02-21,43.99516,0,1,0,0,281
417,2018-02-22,42.978638,0,1,0,0,281
418,2018-02-23,37.968605,0,1,0,0,281
419,2018-02-24,30.544369,0,1,0,0,281
420,2018-02-25,25.636282,0,1,0,0,281
421,2018-02-26,30.45833,0,1,0,0,281
422,2018-02-27,29.84319,0,1,0,0,281
423,2018-02-28,30.571447,0,1,0,0,281
424,2018-03-01,31.57473,0,1,0,0,281
425,2018-03-02,36.807327,0,1,0,0,281
426,2018-03-03,34.152554,0,1,0,0,281
427,2018-03-04,34.77252,0,1,0,0,281
428,2018-03-05,37.91366,0,1,0,0,281
429,2018-03-06,35.384598,0,1,0,0,281
430,2018-03-07,37.012142,0,1,0,0,281
431,2018-03-08,37.64555,0,1,0,0,281
432,2018-03-09,38.010334,0,1,0,0,281
433,2018-03-10,32.70736,0,1,0,0,281
434,2018-03-11,29.56453,0,1,0,0,281
435,2018-03-12,37.2046,0,1,0,0,281
436,2018-03-13,37.959667,0,1,0,0,281
437,2018-03-14,37.86444,0,1,0,0,281
438,2018-03-15,35.597725,0,1,0,0,281
439,2018-03-16,38.18563,0,1,0,0,281
440,2018-03-17,37.124973,0,1,0,0,281
441,2018-03-18,36.03971,0,1,0,0,281
442,2018-03-19,39.772575,0,1,0,0,281
443,2018-03-20,39.263763,0,1,0,0,281
444,2018-03-21,36.99783,0,1,0,0,281
445,2018-03-22,39.367107,0,1,0,0,281
446,2018-03-23,36.96615,0,1,0,0,281
447,2018-03-24,29.740988,0,1,0,0,281
448,2018-03-25,27.424719,0,1,0,0,281
449,2018-03-26,34.75086,0,1,0,0,281
450,2018-03-27,38.43513,0,1,0,0,281
451,2018-03-28,36.408867,0,1,0,0,281
452,2018-03-29,34.552525,0,1,0,0,281
453,2018-03-30,39.190857,0,1,0,0,281
454,2018-03-31,35.34495,0,1,0,0,281
455,2018-04-01,31.230104,0,1,0,0,281
456,2018-04-02,32.2109,0,1,0,0,281
457,2018-04-03,26.273552,0,1,0,0,281
458,2018-04-04,26.733852,0,1,0,0,281
459,2018-04-05,28.53964,0,1,0,0,281
460,2018-04-06,31.98109,0,1,0,0,281
461,2018-04-07,26.471973,0,1,0,0,281
462,2018-04-08,25.224445,0,1,0,0,281
463,2018-04-09,28.865515,0,1,0,0,281
464,2018-04-10,31.94358,0,1,0,0,281
465,2018-04-11,36.57061,0,1,0,0,281
466,2018-04-12,40.584385,0,1,0,0,281
467,2018-04-13,43.51222,0,1,0,0,281
468,2018-04-14,38.21467,0,1,0,0,281
469,2018-04-15,37.728558,0,1,0,0,281
470,2018-04-16,40.63563,0,1,0,0,281
471,2018-04-17,34.843647,0,1,0,0,281
472,2018-04-18,30.157423,0,1,0,0,281
473,2018-04-19,31.410583,0,1,0,0,281
474,2018-04-20,31.765484,0,1,0,0,281
475,2018-04-21,28.991594,0,1,0,0,281
476,2018-04-22,27.35993,0,1,0,0,281
477,2018-04-23,35.470383,0,1,0,0,281
478,2018-04-24,38.22653,0,1,0,0,281
479,2018-04-25,40.60738,0,1,0,0,281
480,2018-04-26,42.51486,0,1,0,0,281
481,2018-04-27,42.93498,0,1,0,0,281
482,2018-04-28,35.8369,0,1,0,0,281
483,2018-04-29,32.994843,0,1,0,0,281
484,2018-04-30,39.37474,0,1,0,0,281
485,2018-05-01,42.4732,0,1,0,0,281
486,2018-05-02,42.331867,0,1,0,0,281
487,2018-05-03,42.348648,0,1,0,0,281
488,2018-05-04,42.462208,0,1,0,0,281
489,2018-05-05,35.050873,0,1,0,0,281
490,2018-05-06,35.473614,0,1,0,0,281
491,2018-05-07,39.422234,0,1,0,0,281
492,2018-05-08,40.64316,0,1,0,0,281
493,2018-05-09,39.36181,0,1,0,0,281
494,2018-05-10,39.681324,0,1,0,0,281
495,2018-05-11,38.596767,0,1,0,0,281
